sampleID	subject	time
09-09	9	9.0
09-11	9	11.0
09-12	9	12.0
09-14	9	14.0
09-15	9	15.0
09-16	9	16.0
09-18	9	18.0
09-20	9	20.0
09-24	9	24.0
09-25	9	25.0
09-26	9	26.0
09-28	9	28.0
09-29	9	29.0
09-30	9	30.0
09-32	9	32.0
09-34	9	34.0
09-37	9	37.0
09-39	9	39.0
09-40	9	40.0
09-41	9	41.0
10-00	10	0.0
10-01	10	1.0
10-02	10	2.0
10-04	10	4.0
10-06	10	6.0
10-09	10	9.0
10-11	10	11.0
10-12	10	12.0
10-14	10	14.0
10-15	10	15.0
10-16	10	16.0
10-18	10	18.0
10-20	10	20.0
10-24	10	24.0
10-25	10	25.0
10-26	10	26.0
10-28	10	28.0
10-29	10	29.0
10-30	10	30.0
10-32	10	32.0
10-34	10	34.0
10-37	10	37.0
10-39	10	39.0
10-40	10	40.0
10-41	10	41.0
11-00	11	0.0
11-01	11	1.0
11-02	11	2.0
11-04	11	4.0
11-06	11	6.0
11-09	11	9.0
11-11	11	11.0
11-12	11	12.0
11-14	11	14.0
11-15	11	15.0
11-16	11	16.0
11-18	11	18.0
11-20	11	20.0
11-24	11	24.0
11-25	11	25.0
11-26	11	26.0
11-28	11	28.0
11-29	11	29.0
11-30	11	30.0
11-32	11	32.0
11-34	11	34.0
11-37	11	37.0
11-39	11	39.0
11-40	11	40.0
11-41	11	41.0
12-00	12	0.0
12-01	12	1.0
12-02	12	2.0
12-04	12	4.0
12-06	12	6.0
12-09	12	9.0
12-11	12	11.0
12-12	12	12.0
12-14	12	14.0
12-15	12	15.0
12-16	12	16.0
12-18	12	18.0
12-20	12	20.0
12-24	12	24.0
12-25	12	25.0
12-26	12	26.0
12-28	12	28.0
12-29	12	29.0
12-30	12	30.0
12-32	12	32.0
12-34	12	34.0
12-37	12	37.0
12-39	12	39.0
12-40	12	40.0
12-41	12	41.0
13-00	13	0.0
13-01	13	1.0
13-02	13	2.0
13-04	13	4.0
13-06	13	6.0
13-09	13	9.0
13-11	13	11.0
13-12	13	12.0
13-14	13	14.0
13-15	13	15.0
13-16	13	16.0
13-18	13	18.0
13-20	13	20.0
13-24	13	24.0
13-25	13	25.0
13-26	13	26.0
13-28	13	28.0
13-29	13	29.0
13-30	13	30.0
13-32	13	32.0
13-34	13	34.0
13-37	13	37.0
13-39	13	39.0
13-40	13	40.0
13-41	13	41.0
14-00	14	0.0
14-01	14	1.0
14-02	14	2.0
14-04	14	4.0
14-06	14	6.0
14-09	14	9.0
14-11	14	11.0
14-12	14	12.0
14-14	14	14.0
14-15	14	15.0
14-16	14	16.0
14-18	14	18.0
14-20	14	20.0
14-24	14	24.0
14-25	14	25.0
14-26	14	26.0
14-29	14	29.0
14-30	14	30.0
14-32	14	32.0
14-34	14	34.0
14-37	14	37.0
14-39	14	39.0
14-40	14	40.0
14-41	14	41.0
15-00	15	0.0
15-01	15	1.0
15-02	15	2.0
15-04	15	4.0
15-06	15	6.0
15-09	15	9.0
15-11	15	11.0
15-12	15	12.0
15-14	15	14.0
15-15	15	15.0
15-16	15	16.0
15-18	15	18.0
15-20	15	20.0
15-24	15	24.0
15-25	15	25.0
15-26	15	26.0
15-28	15	28.0
15-29	15	29.0
15-30	15	30.0
15-32	15	32.0
15-34	15	34.0
15-37	15	37.0
15-39	15	39.0
15-40	15	40.0
15-41	15	41.0
