	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	-2.4446225138989506e-09	-2.213470506095541e-09	-2.2897002172640366e-09	-2.3887425362196613e-09	-2.433125658749228e-09	-2.3841407102100146e-09	-2.8121355386030427e-09
B_ovatus	0.0	0.0	0.0	0.0	0.0	-2.507198169506147e-09	-2.2822769274871348e-09	-2.3453052365086463e-09	-2.4403982200083544e-09	-2.489710923366509e-09	-2.433117046554368e-09	-2.8737506045578546e-09
B_uniformis	0.0	0.0	0.0	0.0	0.0	-2.4714809258347126e-09	-2.2547051745785855e-09	-2.316815899774926e-09	-2.4090089471117295e-09	-2.4571522166103457e-09	-2.406720679893399e-09	-2.8189280556064483e-09
P_distasonis	0.0	0.0	0.0	0.0	0.0	-8.634120610000443e-10	0.0	0.0	0.0	-7.346337620459605e-10	0.0	-2.2246910096111873e-09
R_obeum	0.0	0.0	0.0	0.0	0.0	-2.434177529875375e-09	-2.2271532882989362e-09	-2.292228755539297e-09	-2.3920069986935437e-09	-2.4227927784882878e-09	-2.389866319667586e-09	-2.7747374825911625e-09
B_caccae	1.2509923584301431e-09	1.2845987942450943e-09	1.2821758198818259e-09	9.10070125273689e-10	1.2985144329509236e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_thetaiotaomicron	1.1716303431321916e-09	1.2178982261184015e-09	1.2156511119793322e-09	5.793918316839066e-10	1.2010461914053491e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_vulgatus	1.2441695666458337e-09	1.3024818289309198e-09	1.2941500628756092e-09	0.0	1.2731173583157234e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_aerofaciens	1.2751118672265147e-09	1.3295240850729543e-09	1.3185349837654641e-09	8.271531400315401e-10	1.2909152399396539e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_scindens	1.2559875286847252e-09	1.3020026969490761e-09	1.2915851378127717e-09	9.023032537489737e-10	1.3080854011301162e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_longicatena	1.2620518259403108e-09	1.3096270568287648e-09	1.3094981413669965e-09	7.376623602852444e-10	1.2856253267796305e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
