Bc_00006	iAM_Pc455.PCYB_132130	27.1	759	453	22	6	686	40	776	3.3e-58	223.8
Bc_00006	iAM_Pv461.PVX_084660	25.8	751	473	21	6	686	39	775	2.4e-56	217.6
Bc_00007	iAF987.Gmet_0069	35.9	145	84	2	1091	1232	2	140	2.1e-16	85.9
Bc_00008	iJN1463.PP_2193	22.0	236	154	7	183	396	187	414	9.5e-04	43.5
Bc_00012	iLJ478.TM1062	25.8	446	249	16	60	472	15	411	1.3e-21	102.1
Bc_00018	iMM1415.15931	34.0	403	201	8	27	382	37	421	6.2e-56	215.7
Bc_00023	iAF692.Mbar_A1776	25.0	184	112	4	192	351	9	190	7.5e-07	52.8
Bc_00023	iEK1008.Rv2850c	25.9	166	101	5	192	351	4	153	6.4e-06	49.7
Bc_00029	iSynCJ816.SGL_RS06095	54.0	139	62	1	2	138	6	144	7.2e-37	150.6
Bc_00029	iIT341.HP1038	50.3	143	64	3	1	137	1	142	2.2e-33	139.0
Bc_00029	iAF987.Gmet_0981	49.3	138	68	1	1	136	1	138	4.9e-33	137.9
Bc_00030	iYO844.BSU29180	43.1	478	260	7	3	470	1	476	8.8e-98	354.8
Bc_00030	iCN900.CD630_33940	42.6	477	262	7	3	470	5	478	5.9e-94	342.0
Bc_00030	iYS854.USA300HOU_RS09005	41.6	486	264	9	3	474	1	480	1.7e-93	340.5
Bc_00030	iHN637.CLJU_RS01595	40.5	477	274	5	3	470	1	476	1.0e-90	331.3
Bc_00030	iYL1228.KPN_02133	40.7	455	261	4	3	450	1	453	5.1e-90	328.9
Bc_00030	STM_v1_0.STM1378	40.4	455	262	4	3	450	1	453	1.1e-89	327.8
Bc_00030	iSF_1195.SF1705	40.4	455	262	4	3	450	1	453	1.1e-89	327.8
Bc_00030	iML1515.b1676	40.2	455	263	4	3	450	1	453	3.3e-89	326.2
Bc_00030	iSbBS512_1146.SbBS512_E1877	40.2	455	263	4	3	450	1	453	3.3e-89	326.2
Bc_00030	iSSON_1240.SSON_1480	40.2	455	263	4	3	450	1	453	3.3e-89	326.2
Bc_00030	iPC815.YPO2393	40.8	451	258	4	3	446	1	449	3.3e-89	326.2
Bc_00030	iSDY_1059.SDY_1905	40.2	455	263	4	3	450	1	453	7.4e-89	325.1
Bc_00031	iMM1415.69156	34.5	174	106	3	44	211	90	261	1.2e-22	104.0
Bc_00031	iCHOv1.100762102	34.1	173	108	2	44	211	90	261	2.0e-22	103.2
Bc_00035	iEK1008.Rv2454c	47.0	338	172	5	2	335	38	372	4.8e-87	318.5
Bc_00036	iEK1008.Rv2455c	50.7	601	287	7	4	602	24	617	2.3e-164	576.2
Bc_00039	iCHOv1.100774083	31.5	591	371	12	120	694	129	701	4.6e-76	283.1
Bc_00044	iNF517.LLMG_RS11600	30.4	579	358	11	30	605	28	564	3.8e-66	250.0
Bc_00047	iAF987.Gmet_0069	28.2	124	87	1	1061	1182	2	125	4.4e-11	68.2
Bc_00047	iAF987.Gmet_2999	25.2	119	89	0	1064	1182	10	128	1.9e-09	62.8
Bc_00048	iLJ478.TM0024	29.4	255	151	14	135	371	214	457	2.3e-21	100.5
Bc_00059	iSF_1195.SF4068	31.0	100	67	1	9	108	96	193	6.0e-09	58.2
Bc_00059	iML1515.b3996	30.0	100	68	1	9	108	96	193	1.0e-08	57.4
Bc_00059	iSbBS512_1146.SbBS512_E4487	30.0	100	68	1	9	108	96	193	1.0e-08	57.4
Bc_00059	iSDY_1059.SDY_3730	30.0	100	68	1	9	108	96	193	1.0e-08	57.4
Bc_00059	iSSON_1240.SSON_4169	30.0	100	68	1	9	108	96	193	1.0e-08	57.4
Bc_00059	iSynCJ816.SGL_RS16030	36.8	76	48	0	38	113	197	272	5.1e-08	55.1
Bc_00059	iCN718.ABAYE_RS13345	29.0	100	70	1	9	108	90	188	1.1e-07	53.9
Bc_00059	iYL1228.KPN_04378	28.0	100	70	1	9	108	96	193	1.5e-07	53.5
Bc_00059	STM_v1_0.STM4166	29.0	100	69	1	9	108	96	193	1.9e-07	53.1
Bc_00061	iML1515.b3656	23.5	459	304	16	66	498	198	635	2.1e-28	124.4
Bc_00062	iAF987.Gmet_0043	20.6	437	260	10	833	1248	25	395	1.2e-14	80.1
Bc_00062	iAF987.Gmet_2999	28.0	143	101	2	1128	1268	4	146	6.5e-13	74.3
Bc_00066	iJN1463.PP_2439	65.1	186	65	0	3	188	2	187	5.8e-74	274.2
Bc_00066	STM_v1_0.STM0608	59.5	185	75	0	4	188	3	187	6.9e-67	250.8
Bc_00066	iML1515.b0605	58.4	185	77	0	4	188	3	187	1.5e-66	249.6
Bc_00067	iJN1463.PP_2440	48.2	517	262	4	1	513	1	515	6.2e-134	474.9
Bc_00067	iML1515.b0606	46.4	526	260	7	1	513	1	517	1.2e-126	450.7
Bc_00067	STM_v1_0.STM0609	45.7	523	268	5	1	513	1	517	3.4e-124	442.6
Bc_00077	iPC815.YPO0008	39.9	303	181	1	2	303	5	307	5.0e-54	208.8
Bc_00077	iJN1463.PP_2458	40.7	297	174	2	2	296	4	300	1.8e-51	200.3
Bc_00077	iYS854.USA300HOU_RS01400	40.6	298	174	3	2	296	4	301	1.8e-51	200.3
Bc_00077	iML1515.b3752	39.5	299	180	1	3	300	7	305	3.9e-51	199.1
Bc_00077	iSF_1195.SF3835	39.5	299	180	1	3	300	12	310	3.9e-51	199.1
Bc_00077	iSSON_1240.SSON_3922	39.5	299	180	1	3	300	7	305	3.9e-51	199.1
Bc_00077	iSbBS512_1146.SbBS512_E4167	39.5	299	180	1	3	300	7	305	5.1e-51	198.7
Bc_00077	STM_v1_0.STM3885	38.8	299	182	1	3	300	7	305	1.5e-50	197.2
Bc_00077	iYL1228.KPN_04157	38.3	303	186	1	2	303	7	309	7.4e-50	194.9
Bc_00077	iLJ478.TM0960	42.7	300	162	6	3	300	5	296	7.4e-50	194.9
Bc_00077	iSDY_1059.SDY_3995	38.8	299	182	1	3	300	7	305	1.1e-48	191.0
Bc_00078	iPC815.YPO0008	42.4	297	171	0	10	306	5	301	4.6e-60	228.8
Bc_00078	iJN1463.PP_2458	42.1	297	171	1	10	305	4	300	6.6e-59	224.9
Bc_00078	iSbBS512_1146.SbBS512_E4167	41.2	301	177	0	7	307	3	303	3.4e-55	212.6
Bc_00078	iSF_1195.SF3835	41.3	300	176	0	7	306	8	307	3.4e-55	212.6
Bc_00078	iML1515.b3752	41.3	300	176	0	7	306	3	302	4.4e-55	212.2
Bc_00078	iSSON_1240.SSON_3922	41.3	300	176	0	7	306	3	302	4.4e-55	212.2
Bc_00078	iYL1228.KPN_04157	41.4	297	174	0	10	306	7	303	1.7e-54	210.3
Bc_00078	STM_v1_0.STM3885	40.7	295	175	0	11	305	7	301	2.2e-54	209.9
Bc_00078	iYS854.USA300HOU_RS01400	41.8	299	172	2	10	306	4	302	2.9e-54	209.5
Bc_00078	iSDY_1059.SDY_3995	41.3	298	175	0	7	304	3	300	1.1e-53	207.6
Bc_00080	iML1515.b2533	37.9	240	142	3	13	248	10	246	2.5e-38	156.4
Bc_00080	iSF_1195.SF2580	37.9	240	142	3	13	248	10	246	2.5e-38	156.4
Bc_00080	STM_v1_0.STM2546	38.3	240	141	3	13	248	10	246	3.3e-38	156.0
Bc_00080	iSbBS512_1146.SbBS512_E2908	37.5	240	143	3	13	248	10	246	9.6e-38	154.5
Bc_00080	iSDY_1059.SDY_2729	37.5	240	143	3	13	248	10	246	9.6e-38	154.5
Bc_00080	iSSON_1240.SSON_2615	37.5	240	143	3	13	248	10	246	2.1e-37	153.3
Bc_00080	iAF987.Gmet_0697	34.5	249	161	1	4	252	2	248	1.8e-36	150.2
Bc_00080	iYL1228.KPN_02865	34.2	237	155	1	13	248	10	246	1.5e-35	147.1
Bc_00080	iPC815.YPO2899	33.3	255	162	4	13	262	10	261	1.5e-35	147.1
Bc_00080	iJN1463.PP_0838	37.2	242	146	2	13	248	10	251	5.8e-35	145.2
Bc_00082	iLJ478.TM0306	29.2	459	259	17	38	459	13	442	2.5e-41	167.2
Bc_00082	iCHOv1.100756134	27.7	451	262	15	28	447	28	445	1.8e-39	161.0
