name	Growth_mean	Growth_median	Self_interaction_mean	Self_interaction_median	Cluster	Perturbation_mean	Perturbation_median	Perturbation_bayes_factor
B_caccae	0.6142659138646531	0.6216155729949455	6.462636828329415e-09	6.424708152345899e-09	0	0.025111439598875	0.0	0.0567101091933779
B_cellulosilyticus_WH2	0.8108839409072711	0.8088523779140665	1.4508326348045462e-09	1.429920431341467e-09	0	-0.7687443034066106	-0.7743170423789936	5999.0
B_ovatus	1.1058400269640305	1.1103052316416404	2.0654162675368647e-08	2.0815622647875832e-08	0	-1.03575809317225	-1.0178414461360172	inf
B_thetaiotaomicron	0.6986775808198145	0.6892113371391297	1.2631445854412964e-08	1.2432542511817672e-08	0	-0.0488250341588374	0.0	0.2034297748583463
B_uniformis	0.412041480884335	0.3980489213389733	1.7305156343072162e-08	1.6589882834222004e-08	0	-0.0092112837106265	0.0	0.0566635847312112
B_vulgatus	0.3668106199198805	0.3595638984719014	4.823741088359411e-09	4.794706608403576e-09	0	-0.042248845624912	0.0	0.1105969458583989
C_aerofaciens	0.9182523382558304	0.9208494980727682	3.221452514425672e-07	3.1924450173015417e-07	0	-0.3440600679229035	-0.3895043020601693	2.9190071848465053
C_scindens	0.642240603979401	0.6430134298738162	8.374248547874582e-08	8.337083684850558e-08	0	-0.0109117559652745	0.0	0.1282967420431573
C_spiroforme	0.8836134262008524	0.8970429610473207	1.2440581253448565e-06	1.262978539885505e-06	0	-0.302536964475203	-0.3502527055183825	1.79492255735414
D_longicatena	0.0815866554118922	0.0516469607441131	1.2923279148893591e-06	1.2030140760519066e-06	0	3.741027343092979	0.0	0.6926440510614289
P_distasonis	0.6813400091529264	0.6874317995731926	3.683540104260701e-08	3.620520357091972e-08	0	-0.3260931315256061	-0.3892653657290059	1.9140359397765905
R_obeum	1.1218183868920837	1.114215651350306	5.1214093786173065e-08	5.1208341601564186e-08	0	-0.7891639896191674	-0.7956119146645579	inf
