Source	Target	Interaction	Interaction_magnitude_log	Interaction_bayes_factor	Cocluster_probability
B_cellulosilyticus_WH2	B_caccae	-	-11.20826776834442	2.722795201010314	0.589
B_ovatus	B_caccae	+	-10.229580297247743	6.815524021200205	0.569
B_thetaiotaomicron	B_caccae	+	-11.286275534190011	1.2377762893503017	0.8316666666666667
B_uniformis	B_caccae	+	-10.81775059659258	2.520842973120767	0.848
B_vulgatus	B_caccae	+	-11.034933036123556	1.7718120805369129	0.7733333333333333
C_aerofaciens	B_caccae	-	-9.435772994291257	31.853567426223385	0.7106666666666667
C_scindens	B_caccae	+	-10.455264488620232	6.89657531318141	0.8833333333333333
C_spiroforme	B_caccae	-	-9.366393592267048	33.53463254285043	0.7288333333333333
D_longicatena	B_caccae	+	-9.764552800820008	18.27746591820369	0.7325
P_distasonis	B_caccae	-	-9.924866037201467	11.850058774870478	0.5888333333333333
R_obeum	B_caccae	-	-11.4539606371461	3.398185271154252	0.569
B_caccae	B_cellulosilyticus_WH2	+	-12.14969853492241	0.6727098040853837	0.589
B_ovatus	B_cellulosilyticus_WH2	+	-10.137671983486083	14.9100673504424	0.854
B_thetaiotaomicron	B_cellulosilyticus_WH2	+	-11.020337548519382	2.520842973120767	0.6228333333333333
B_uniformis	B_cellulosilyticus_WH2	+	-11.614371159112894	1.0824198811814911	0.622
B_vulgatus	B_cellulosilyticus_WH2	+	-10.26166347136173	14.26086956521739	0.6888333333333333
C_aerofaciens	B_cellulosilyticus_WH2	-	-10.482743335245612	8.950501873949943	0.7345
C_scindens	B_cellulosilyticus_WH2	-	-11.539911585218475	2.196117973279556	0.5956666666666667
C_spiroforme	B_cellulosilyticus_WH2	+	-11.380439266016964	5.090291344602056	0.728
D_longicatena	B_cellulosilyticus_WH2	+	-11.048862782116236	3.7597937708659086	0.6963333333333334
P_distasonis	B_cellulosilyticus_WH2	+	-9.374413208636735	97.80904522613064	0.8235
R_obeum	B_cellulosilyticus_WH2	+	-11.274668540708388	1.8052607291185967	0.8605
B_caccae	B_ovatus	-	-8.43833849604968	466.2062924974069	0.569
B_cellulosilyticus_WH2	B_ovatus	-	-8.385833246597421	495.4390507011866	0.854
B_thetaiotaomicron	B_ovatus	-	-9.38006212153006	30.478527607361965	0.591
B_uniformis	B_ovatus	-	-9.620868225080333	18.83189000982055	0.5786666666666667
B_vulgatus	B_ovatus	-	-9.946674713782159	9.31550340781641	0.5991666666666666
C_aerofaciens	B_ovatus	-	-9.726451487318482	15.365079365079366	0.6493333333333333
C_scindens	B_ovatus	-	-8.876125034952926	97.64383561643837	0.5691666666666667
C_spiroforme	B_ovatus	-	-9.282303862983817	34.1506752623406	0.6681666666666667
D_longicatena	B_ovatus	-	-8.908170898360332	75.40432826226699	0.6686666666666666
P_distasonis	B_ovatus	+	-9.371950051467616	26.10989010989011	0.8218333333333333
R_obeum	B_ovatus	-	-9.02056626094602	58.54123396456934	0.9406666666666668
B_caccae	B_thetaiotaomicron	-	-9.830752671836171	11.131356116201312	0.8316666666666667
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-9.16856526099911	47.97991038455857	0.6228333333333333
B_ovatus	B_thetaiotaomicron	-	-10.540459545770196	4.383598780074551	0.591
B_uniformis	B_thetaiotaomicron	-	-10.471437202567357	3.963628674138296	0.8058333333333333
B_vulgatus	B_thetaiotaomicron	-	-10.605561851448115	3.725851432434717	0.7463333333333333
C_aerofaciens	B_thetaiotaomicron	-	-9.557286276566835	19.21115680314679	0.7226666666666667
C_scindens	B_thetaiotaomicron	-	-10.31864880852731	6.318699603225394	0.8243333333333334
C_spiroforme	B_thetaiotaomicron	-	-9.001733656624431	56.339754284847565	0.7258333333333333
D_longicatena	B_thetaiotaomicron	+	-10.391261452274328	10.535291823735864	0.7391666666666666
P_distasonis	B_thetaiotaomicron	-	-9.71063895383565	13.833808375356282	0.6375
R_obeum	B_thetaiotaomicron	-	-9.782179412493829	11.850058774870478	0.5935
B_caccae	B_uniformis	+	-10.345645819848311	4.077004442563994	0.848
B_cellulosilyticus_WH2	B_uniformis	+	-9.186865521377943	28.08924949290061	0.622
B_ovatus	B_uniformis	+	-8.979351764931735	39.317535545023695	0.5786666666666667
B_thetaiotaomicron	B_uniformis	+	-12.247827732145108	4.668108383157359	0.8058333333333333
