OTU	StableState	SampleIdx	ExcludedCluster
B_caccae	59959782.882954046	0	None
B_cellulosilyticus_WH2	193033796.70959178	0	None
B_ovatus	48473025.130937055	0	None
B_thetaiotaomicron	47429453.33188085	0	None
B_uniformis	24697930.62424879	0	None
B_vulgatus	81716181.9429034	0	None
C_aerofaciens	2642953.535637015	0	None
C_scindens	5637186.882761517	0	None
C_spiroforme	336239.8723564783	0	None
D_longicatena	105279.8787107115	0	None
P_distasonis	21280628.065587163	0	None
R_obeum	18750700.46797522	0	None
B_caccae	82716912.42385352	100	None
B_cellulosilyticus_WH2	174173560.52353147	100	None
B_ovatus	50525742.45112159	100	None
B_thetaiotaomicron	50318603.97475027	100	None
B_uniformis	20508964.737896763	100	None
B_vulgatus	78989475.06992382	100	None
C_aerofaciens	2951452.3248979263	100	None
C_scindens	5746699.7756332345	100	None
C_spiroforme	354586.0769339574	100	None
D_longicatena	158874.69293865477	100	None
P_distasonis	25805046.523606382	100	None
R_obeum	17654366.947047617	100	None
B_caccae	83578439.88561675	200	None
B_cellulosilyticus_WH2	175945599.8702768	200	None
B_ovatus	50063883.71307549	200	None
B_thetaiotaomicron	50350099.481653735	200	None
B_uniformis	20390371.458300028	200	None
B_vulgatus	83260198.9302439	200	None
C_aerofaciens	2599272.0974449064	200	None
C_scindens	6011344.692467082	200	None
C_spiroforme	320533.88388297684	200	None
D_longicatena	57604.2041006831	200	None
P_distasonis	24029245.42777116	200	None
R_obeum	19182630.478304084	200	None
B_caccae	74120414.3042488	300	None
B_cellulosilyticus_WH2	185956900.90894982	300	None
B_ovatus	48642702.061756775	300	None
B_thetaiotaomicron	55012448.81565998	300	None
B_uniformis	21041414.325515114	300	None
B_vulgatus	81572720.7691792	300	None
C_aerofaciens	2052416.2672120207	300	None
C_scindens	4656117.108491066	300	None
C_spiroforme	402592.0971633963	300	None
D_longicatena	76773.35967735262	300	None
P_distasonis	25170731.23749813	300	None
R_obeum	16433073.704440618	300	None
B_caccae	93439030.20897143	400	None
B_cellulosilyticus_WH2	191691431.79613796	400	None
B_ovatus	46683597.04491993	400	None
B_thetaiotaomicron	55782296.28474589	400	None
B_uniformis	18138972.461024508	400	None
B_vulgatus	69623516.46999003	400	None
C_aerofaciens	2582342.499992156	400	None
C_scindens	6807639.7441070285	400	None
C_spiroforme	391273.3462408407	400	None
D_longicatena	1746942.0999359149	400	None
P_distasonis	21930757.41075643	400	None
R_obeum	19172812.60939284	400	None
B_caccae	66717894.13099228	500	None
B_cellulosilyticus_WH2	184325885.31241	500	None
B_ovatus	47755683.08203874	500	None
B_thetaiotaomicron	47749400.20968341	500	None
B_uniformis	27065096.378983196	500	None
B_vulgatus	70778818.78276592	500	None
C_aerofaciens	2242625.4250898906	500	None
C_scindens	6033584.373705754	500	None
C_spiroforme	504379.29194276326	500	None
D_longicatena	65309.7516597689	500	None
P_distasonis	21082756.6285268	500	None
R_obeum	22857101.88832345	500	None
B_caccae	86226364.049732	600	None
B_cellulosilyticus_WH2	185084372.2816034	600	None
B_ovatus	47643454.69184712	600	None
B_thetaiotaomicron	46467234.607487954	600	None
B_uniformis	21823853.11165359	600	None
B_vulgatus	82084311.95874107	600	None
C_aerofaciens	2290120.933760497	600	None
C_scindens	6234696.3277181005	600	None
C_spiroforme	351677.58356443	600	None
D_longicatena	27651.731157851627	600	None
P_distasonis	28890153.987036277	600	None
R_obeum	18689615.717110723	600	None
B_caccae	80519285.57105386	700	None
B_cellulosilyticus_WH2	181295680.46859986	700	None
B_ovatus	45326429.08511741	700	None
B_thetaiotaomicron	51069707.77903028	700	None
B_uniformis	22725515.948041156	700	None
B_vulgatus	102621009.94073288	700	None
C_aerofaciens	2278416.064700484	700	None
C_scindens	6198369.0719519695	700	None
C_spiroforme	528751.0820429217	700	None
D_longicatena	74957.68843492094	700	None
P_distasonis	25084502.182460252	700	None
R_obeum	19052619.916237764	700	None
B_caccae	66701033.5617077	800	None
B_cellulosilyticus_WH2	188228536.28209153	800	None
B_ovatus	45906801.130680844	800	None
B_thetaiotaomicron	51262660.30645711	800	None
B_uniformis	21008562.451815568	800	None
B_vulgatus	77682870.69501948	800	None
C_aerofaciens	2048377.6350429514	800	None
C_scindens	5973062.328434256	800	None
C_spiroforme	406736.1586982652	800	None
D_longicatena	76515.36274228766	800	None
P_distasonis	20398034.370287597	800	None
R_obeum	19261636.171024337	800	None
B_caccae	80288747.57083598	900	None
B_cellulosilyticus_WH2	177990246.51505473	900	None
B_ovatus	47295049.04620222	900	None
B_thetaiotaomicron	44772908.509061635	900	None
B_uniformis	25330536.01041305	900	None
B_vulgatus	71336382.00138481	900	None
C_aerofaciens	2722748.316887046	900	None
C_scindens	6052579.922959958	900	None
C_spiroforme	390433.1798815453	900	None
D_longicatena	97505.4675103282	900	None
P_distasonis	25284051.225169286	900	None
R_obeum	20494263.51365917	900	None
B_caccae	74927897.77192606	1000	None
B_cellulosilyticus_WH2	200403967.6943603	1000	None
B_ovatus	46323975.22566318	1000	None
B_thetaiotaomicron	47458461.77867348	1000	None
B_uniformis	17442249.946877263	1000	None
B_vulgatus	81265367.20820315	1000	None
C_aerofaciens	2622447.1858226834	1000	None
C_scindens	6093949.904424152	1000	None
C_spiroforme	434178.9706625149	1000	None
D_longicatena	68554.02399880032	1000	None
P_distasonis	22412145.42655275	1000	None
R_obeum	19270343.957513943	1000	None
B_caccae	87964122.12069857	1100	None
B_cellulosilyticus_WH2	154179285.29853696	1100	None
B_ovatus	47631257.023639746	1100	None
B_thetaiotaomicron	55448014.92890694	1100	None
B_uniformis	27214901.04985717	1100	None
B_vulgatus	71541792.48792717	1100	None
C_aerofaciens	2248711.7898455746	1100	None
C_scindens	5735698.810207665	1100	None
C_spiroforme	371407.7273247192	1100	None
D_longicatena	87722.51719065156	1100	None
P_distasonis	25054098.973188445	1100	None
R_obeum	18673143.702990025	1100	None
B_caccae	78534486.02491678	1200	None
B_cellulosilyticus_WH2	167355015.9768737	1200	None
B_ovatus	50406197.06523126	1200	None
B_thetaiotaomicron	49034947.78208597	1200	None
B_uniformis	22311403.80739759	1200	None
B_vulgatus	65010164.998713106	1200	None
C_aerofaciens	2523259.505273379	1200	None
C_scindens	6170267.638564492	1200	None
C_spiroforme	280411.6413784513	1200	None
D_longicatena	56899.10985661574	1200	None
P_distasonis	21568477.498625584	1200	None
R_obeum	21127573.772012178	1200	None
B_caccae	98411694.97605158	1300	None
B_cellulosilyticus_WH2	160071585.955336	1300	None
B_ovatus	49131047.789922975	1300	None
B_thetaiotaomicron	49882560.521686055	1300	None
B_uniformis	28652793.78122456	1300	None
B_vulgatus	77081554.92613515	1300	None
C_aerofaciens	2393558.432743781	1300	None
C_scindens	4991533.688477958	1300	None
C_spiroforme	648667.995620741	1300	None
D_longicatena	70699.25205597542	1300	None
P_distasonis	28262537.537494082	1300	None
R_obeum	20508037.399521027	1300	None
B_caccae	79510802.24482496	1400	None
B_cellulosilyticus_WH2	170217624.42635795	1400	None
B_ovatus	52397018.14757262	1400	None
B_thetaiotaomicron	51580844.91637343	1400	None
B_uniformis	25300323.831188697	1400	None
B_vulgatus	65556163.24870293	1400	None
C_aerofaciens	2377177.901673603	1400	None
C_scindens	5572274.803760357	1400	None
C_spiroforme	358886.9796172416	1400	None
D_longicatena	84366.23791459328	1400	None
P_distasonis	28173707.58174882	1400	None
R_obeum	19350085.40434138	1400	None
B_caccae	86633031.62544599	1500	None
B_cellulosilyticus_WH2	167242696.11377275	1500	None
B_ovatus	47236284.424938545	1500	None
B_thetaiotaomicron	51719994.82664893	1500	None
B_uniformis	23716375.20964107	1500	None
B_vulgatus	75740089.37420273	1500	None
C_aerofaciens	2194054.9333531437	1500	None
C_scindens	5989843.726655052	1500	None
C_spiroforme	493650.8767929199	1500	None
D_longicatena	74787.95208689345	1500	None
P_distasonis	23924521.564021315	1500	None
R_obeum	19361743.69557643	1500	None
B_caccae	83766347.25150584	1600	None
B_cellulosilyticus_WH2	163648419.15588278	1600	None
B_ovatus	48459070.715960495	1600	None
B_thetaiotaomicron	50500605.56805211	1600	None
B_uniformis	21615947.641586028	1600	None
B_vulgatus	68149412.17710507	1600	None
C_aerofaciens	2448398.1680024546	1600	None
C_scindens	5908518.56392567	1600	None
C_spiroforme	539288.4945319028	1600	None
D_longicatena	45348.01155080132	1600	None
P_distasonis	28450769.76301481	1600	None
R_obeum	19242944.928370666	1600	None
B_caccae	89447555.51463005	1700	None
B_cellulosilyticus_WH2	163485899.0498119	1700	None
B_ovatus	43215025.86077333	1700	None
B_thetaiotaomicron	47295705.99245204	1700	None
B_uniformis	22470377.6002682	1700	None
B_vulgatus	92582448.53845318	1700	None
C_aerofaciens	2720810.177319806	1700	None
C_scindens	6745654.276910515	1700	None
C_spiroforme	536624.8167466373	1700	None
D_longicatena	46413.74812358349	1700	None
P_distasonis	22028596.110996928	1700	None
R_obeum	20967996.76689544	1700	None
B_caccae	106544421.49373561	1800	None
B_cellulosilyticus_WH2	154178590.9837041	1800	None
B_ovatus	45807209.179695256	1800	None
B_thetaiotaomicron	45088367.540520124	1800	None
B_uniformis	18384818.961287186	1800	None
B_vulgatus	74208358.66143234	1800	None
C_aerofaciens	2493078.8861229485	1800	None
C_scindens	7332870.917962206	1800	None
C_spiroforme	431378.4191072477	1800	None
D_longicatena	75836.23060603566	1800	None
P_distasonis	28187302.458677605	1800	None
R_obeum	18945019.993138235	1800	None
B_caccae	80537613.93958525	1900	None
B_cellulosilyticus_WH2	177610444.49832284	1900	None
B_ovatus	43656569.03260159	1900	None
B_thetaiotaomicron	43247684.30552396	1900	None
B_uniformis	21344859.370456964	1900	None
B_vulgatus	94774469.64454395	1900	None
C_aerofaciens	2357866.467558063	1900	None
C_scindens	5748868.611947078	1900	None
C_spiroforme	423855.3749000627	1900	None
D_longicatena	111178.23498204516	1900	None
P_distasonis	24052602.67330612	1900	None
R_obeum	20969265.191274878	1900	None
B_caccae	78596941.42412764	2000	None
B_cellulosilyticus_WH2	154873861.9855516	2000	None
B_ovatus	45407081.23529868	2000	None
B_thetaiotaomicron	41462557.74212637	2000	None
B_uniformis	20871575.664681684	2000	None
B_vulgatus	70237105.8007588	2000	None
C_aerofaciens	2284462.4751863694	2000	None
C_scindens	6376082.797883827	2000	None
C_spiroforme	320932.92475965363	2000	None
D_longicatena	45309.444839385564	2000	None
P_distasonis	25960786.31959117	2000	None
R_obeum	18980617.301123384	2000	None
B_caccae	103073544.32643181	2100	None
B_cellulosilyticus_WH2	171828067.44527775	2100	None
B_ovatus	51432226.96432252	2100	None
B_thetaiotaomicron	50466506.66670344	2100	None
B_uniformis	19236142.501177914	2100	None
B_vulgatus	96405196.6904882	2100	None
C_aerofaciens	2280181.0016368087	2100	None
C_scindens	5942079.292232572	2100	None
C_spiroforme	619437.4192282208	2100	None
D_longicatena	75897.15552911871	2100	None
P_distasonis	25356732.65222999	2100	None
R_obeum	18332714.795785934	2100	None
B_caccae	88524050.35116833	2200	None
B_cellulosilyticus_WH2	162406928.434137	2200	None
B_ovatus	44968772.49046434	2200	None
B_thetaiotaomicron	50046465.1100112	2200	None
B_uniformis	24301146.62040657	2200	None
B_vulgatus	96653268.47601423	2200	None
C_aerofaciens	2084058.5791983255	2200	None
C_scindens	6076067.491256654	2200	None
C_spiroforme	426747.99060831545	2200	None
D_longicatena	45330.06821650886	2200	None
P_distasonis	19953665.110355902	2200	None
R_obeum	17787219.15544121	2200	None
B_caccae	76368288.36852899	2300	None
B_cellulosilyticus_WH2	143056217.5089739	2300	None
B_ovatus	43997232.425251186	2300	None
B_thetaiotaomicron	51418776.6904236	2300	None
B_uniformis	19613708.59021269	2300	None
B_vulgatus	85259714.94371541	2300	None
C_aerofaciens	1703370.3317009995	2300	None
